DateTime,AddedIPs,RemovedIPs
1537201226,55,5
1537202429,33,65
1537204462,114,73
1537205590,62,122
1537206921,66,6
1537208130,28,53
1537209625,75,69
1537210859,105,132
1537212029,57,11
1537213227,65,54
1537213352,6,12
1537214460,60,83
1537215260,30,6
1537216950,76,191
1537217781,20,6
1537218865,37,80
1537219709,36,5
1537221386,75,47
1537222461,30,69
1537223676,24,43
1537224149,11,6
1537225533,18,44
1537226903,38,2
1537227758,19,61
1537228582,14,1
1537229671,24,35
1537230926,72,95
1537232727,50,108
1537234118,85,3
1537235781,53,137
1537236913,50,35
1537238561,39,66
1537239877,33,39
1537241725,66,37
1537242937,86,23
1537244131,67,63
1537245279,44,67
1537246594,120,23
1537247724,64,22
1537249348,60,69
1537250199,47,0
1537251270,67,43
1537252945,154,101
1537253779,82,1
1537254865,91,51
1537256139,116,57
1537257395,100,22
1537258529,72,59
1537259315,54,1
1537260980,134,52
1537262059,69,86
1537263282,92,101
1537264522,80,6
1537265736,97,83
1537266512,63,3
1537268191,87,59
1537269265,81,37
1537270485,56,55
1537271778,71,13
1537273705,108,36
1537275393,71,98
1537276471,71,81
1537278038,125,64
1537279831,113,62
1537281750,116,64
1537283129,116,80
1537284335,64,5
1537286405,76,123
1537287629,66,9
1537288827,68,43
1537290327,84,78
1537291832,69,53
1537292549,47,16
1537294180,82,35
1537295333,69,1
1537296468,61,45
1537296981,15,2
1537298131,66,48
1537298904,32,1
1537300860,97,136
1537301672,76,0
1537303526,89,145
1537304180,39,0
1537306112,99,66
1537306940,78,46
1537308236,50,49
1537308864,16,8
1537310133,32,72
1537311327,37,19
1537312459,41,31
1537313301,21,5
1537314992,44,67
1537316915,43,85
1537318529,61,73
1537319730,56,92
1537321222,49,85
1537322395,30,89
1537323262,21,17
1537324955,48,60
1537325793,23,6
1537326878,45,108
1537327709,44,3
1537328558,35,97
1537330065,87,53
1537331443,115,78
1537333001,104,26
1537334138,54,88
1537335767,69,123
1537336921,63,74
1537338037,80,3
1537339232,81,101
1537339349,4,27
1537340605,69,65
1537341925,99,9
1537343780,69,112
1537345715,116,161
1537347396,124,162
1537348472,83,80
1537349725,131,107
1537351168,116,117
1537352430,74,11
1537353635,53,623
1537354593,53,441
1537355735,74,408
1537357353,121,299
1537358918,100,90
1537359274,25,1
1537360109,78,2
1537361786,111,347
1537362933,73,231
1537364550,137,116
1537365380,43,1
1537367314,166,120
1537369120,124,180
1537370071,82,7
1537370911,66,1
1537372586,154,90
1537373659,80,43
1537374511,47,3
1537375867,54,153
1537377032,45,55
1537378225,88,64
1537380622,201,150
1537382545,70,108
1537383931,71,109
1537385721,80,75
1537386140,10,38
1537387463,62,33
1537388911,97,1
1537390229,98,59
1537391427,45,104
1537391664,11,0
1537392904,73,36
1537394120,90,19
1537395260,60,22
1537396110,20,1
1537397781,46,58
1537398869,45,21
1537400554,74,141
1537401398,37,2
1537402474,49,38
1537403328,39,2
1537404981,104,100
1537406910,118,40
1537408588,79,71
1537409731,47,46
1537411239,62,44
1537412738,94,105
1537414537,113,84
1537415783,56,30
1537416960,36,72
1537418541,90,139
1537419930,91,42
1537420472,29,0
1537422041,120,116
1537423007,82,39
1537424133,71,71
1537424941,67,2
1537426220,76,83
1537427435,96,114
1537428636,87,93
1537429825,107,7
1537431026,79,139
1537432240,139,96
1537433475,80,50
1537434866,100,84
1537438231,257,209
1537440148,170,112
1537441529,150,70
1537442729,93,6
1537443743,63,102
1537445660,216,84
1537447233,158,104
1537448197,114,46
1537449326,130,71
1537450527,147,141
1537452058,152,106
1537453225,139,4
1537453711,35,1
1537455022,124,140
1537456226,127,47
1537457341,101,2
1537458152,90,117
1537459393,118,81
1537460060,61,1
1537461333,95,104
1537462527,115,2
1537463730,106,104
1537464992,95,125
1537466120,102,6
1537467268,98,98
1537468533,121,82
1537469789,165,34
1537470930,73,60
1537471710,48,0
1537472541,49,159
1537474460,162,66
1537475888,76,89
1537476993,70,84
1537478133,113,61
1537478913,49,0
1537480224,113,56
1537481436,111,57
1537483344,123,55
1537484733,104,53
1537486510,137,49
1537486953,21,22
1537488643,145,68
1537489708,59,5
1537491383,123,111
1537492529,78,45
1537494034,106,53
1537495808,139,69
1537496908,81,3
1537497744,86,97
1537499671,147,99
1537500513,65,2
1537502185,149,141
1537504108,110,104
1537505794,156,107
1537506936,156,67
1537508542,110,112
1537509710,83,82
1537510463,67,0
1537512031,132,119
1537513526,103,79
1537514811,105,10
1537515922,134,87
1537517658,127,96
1537519233,123,94
1537520727,143,202
1537521930,135,3
1537523128,187,108
1537524229,150,58
1537525714,325,6
1537527387,328,86
1537529318,484,127
1537530517,233,146
1537532060,299,89
1537533756,338,119
1537534591,194,1
1537535661,265,135
1537536930,221,138
1537538458,338,132
1537539266,132,7
1537540940,353,169
1537542325,268,100
1537542860,100,3
1537544552,249,122
1537545708,188,74
1537546467,115,8
1537548142,272,148
1537550072,247,103
1537550908,38,4
1537552580,86,92
1537553728,93,100
1537554512,61,2
1537556179,109,104
1537557327,46,58
1537558947,80,173
1537560277,64,98
1537561828,85,84
1537563925,146,109
1537564460,26,3
1537565721,46,55
1537568068,53,58
1537569538,74,74
1537571129,77,67
1537571667,22,2
1537572504,30,0
1537574460,98,183
1537575634,73,5
1537576832,31,91
1537578861,98,61
1537579718,45,1
1537580553,53,85
1537581797,54,68
1537584035,90,104
1537584998,39,32
1537586129,65,45
1537587336,70,49
1537588539,67,3
1537589726,65,88
1537590514,34,3
1537592196,65,104
1537594114,103,71
1537596632,123,149
1537597708,82,3
1537599327,120,124
1537600532,41,65
1537601725,55,112
1537602899,48,7
1537604065,37,126
1537604913,37,4
1537606592,115,116
1537607664,54,136
1537608822,109,111
1537610632,110,160
1537612102,81,3
1537612948,60,150
1537614865,86,83
1537616122,82,137
1537617330,81,48
1537618460,70,110
1537619774,83,148
1537621545,86,151
1537622910,62,3
1537624155,105,102
1537626518,179,130
1537627352,47,116
1537629259,202,76
1537630954,81,138
1537631783,41,1
1537632860,71,90
1537633718,54,2
1537635026,53,126
1537636459,72,71
1537638149,127,161
1537639541,58,125
1537641234,105,73
1537642527,53,24
1537643659,83,63
1537645341,88,108
1537647027,119,89
1537648106,57,1
1537649726,108,195
1537650866,71,98
1537652125,71,88
1537653322,78,5
1537655308,60,104
1537656991,114,115
1537658069,78,56
1537659756,121,135
1537661674,271,66
1537663353,108,96
1537664189,77,2
1537665333,101,97
1537666511,77,89
1537668453,151,108
1537669831,75,76
1537671927,130,106
1537672472,29,1
1537673311,29,1
1537674923,82,70
1537676131,69,125
1537676914,40,4
1537677749,50,175
1537678999,92,74
1537680637,87,128
1537681351,37,1
1537683264,114,82
1537684115,87,1
1537686154,158,259
1537686867,62,1
1537688123,94,84
1537690459,303,130
1537691305,90,3
1537692980,209,206
1537694126,133,74
1537695754,157,211
1537697430,213,125
